time.sec	time.min	input		F0.17	F0.37	F0.57	F0.77	F0.97	PS0.01	PS0.17	PS0.49	PS0.65	Vp0.0001	Vp0.03	Vp0.09	Vp0.12		F0.4	F0.8	F1.2	F1.6	F2.0	PS0.0	PS0.17	PS0.51	PS0.68	Vp0.0001	Vp0.04	Vp0.12	Vp0.16
225	3.75	1.584185549		0.707267	0.7864	0.804103	0.811213	0.814919	0.167304	0.692164	0.831579	0.8369	0.709821	0.756975	0.851536	0.898801		0.763092	0.775414	0.777851	0.778754	0.779193	0.126752	0.700386	0.781666	0.776033	0.651977	0.714199	0.841837	0.90568
226	3.766666667	1.584040767		0.70799	0.786616	0.804154	0.811186	0.814849	0.167532	0.69279	0.831301	0.836469	0.709864	0.757025	0.851589	0.898856		0.763094	0.775243	0.777632	0.778514	0.778941	0.126741	0.700772	0.781293	0.775684	0.651778	0.713989	0.84161	0.905445
227	3.783333333	1.583887696		0.708705	0.78683	0.804203	0.811158	0.814777	0.167759	0.693413	0.831025	0.836043	0.709908	0.757072	0.851639	0.898909		0.763095	0.775072	0.777415	0.778276	0.778692	0.12673	0.701155	0.780924	0.77534	0.651581	0.713781	0.841384	0.905211
228	3.8	1.583726144		0.709413	0.78704	0.80425	0.811129	0.814705	0.167986	0.694032	0.830751	0.835622	0.709953	0.757119	0.851689	0.89896		0.763094	0.774902	0.777199	0.77804	0.778444	0.126718	0.701534	0.78056	0.775002	0.651388	0.713574	0.84116	0.904978
229	3.816666667	1.583555923		0.710118	0.787248	0.804296	0.8111	0.814633	0.168212	0.694646	0.830478	0.835205	0.709995	0.757164	0.851736	0.899009		0.763092	0.774733	0.776984	0.777805	0.778198	0.126706	0.701909	0.7802	0.774669	0.651195	0.713368	0.840936	0.904746
230	3.833333333	1.583376852		0.710818	0.787452	0.80434	0.811069	0.81456	0.168438	0.695256	0.830208	0.834792	0.710038	0.757207	0.851781	0.899056		0.763089	0.774564	0.77677	0.777571	0.777953	0.126693	0.702281	0.779845	0.774341	0.651002	0.713164	0.840713	0.904514
231	3.85	1.583188755		0.711511	0.787654	0.804382	0.811037	0.814486	0.168663	0.695862	0.829939	0.834384	0.71008	0.757249	0.851824	0.899101		0.763084	0.774395	0.776557	0.777339	0.77771	0.126679	0.702649	0.779494	0.774017	0.65081	0.712961	0.840491	0.904283
232	3.866666667	1.582991462		0.7122	0.787852	0.804422	0.811004	0.814411	0.168887	0.696464	0.829671	0.83398	0.710121	0.757289	0.851865	0.899143		0.763078	0.774226	0.776345	0.777107	0.777468	0.126664	0.703013	0.779146	0.773699	0.65062	0.712759	0.840269	0.904053
233	3.883333333	1.582784806		0.712883	0.788048	0.804461	0.81097	0.814336	0.16911	0.697061	0.829405	0.83358	0.710161	0.757328	0.851904	0.899184		0.76307	0.774058	0.776134	0.776877	0.777227	0.126648	0.703374	0.778803	0.773384	0.650434	0.712558	0.840048	0.903822
234	3.9	1.582568627		0.71356	0.78824	0.804498	0.810935	0.81426	0.169333	0.697655	0.82914	0.833183	0.710201	0.757364	0.851942	0.899222		0.763061	0.77389	0.775924	0.776648	0.776987	0.126632	0.703731	0.778463	0.773074	0.650248	0.712358	0.839828	0.903593
235	3.916666667	1.582342769		0.714234	0.788429	0.804532	0.810898	0.814183	0.169555	0.698244	0.828877	0.832791	0.710239	0.7574	0.851977	0.899258		0.76305	0.773722	0.775714	0.776419	0.776748	0.126616	0.704085	0.778126	0.772768	0.650061	0.712159	0.839608	0.903363
236	3.933333333	1.582107082		0.714901	0.788615	0.804565	0.81086	0.814105	0.169777	0.698828	0.828615	0.832402	0.710278	0.757433	0.85201	0.899292		0.763037	0.773555	0.775505	0.776192	0.776511	0.126598	0.704435	0.777793	0.772466	0.649873	0.71196	0.839388	0.903133
237	3.95	1.581861419		0.715561	0.788799	0.804596	0.810821	0.814026	0.169998	0.699409	0.828354	0.832017	0.710312	0.757465	0.852041	0.899324		0.763023	0.773387	0.775296	0.775965	0.776274	0.12658	0.70478	0.777463	0.772168	0.649686	0.711763	0.839169	0.902904
238	3.966666667	1.581605638		0.716218	0.788979	0.804626	0.810781	0.813946	0.170218	0.699985	0.828094	0.831636	0.710346	0.757495	0.852069	0.899352		0.763008	0.773219	0.775088	0.775739	0.776038	0.126561	0.705123	0.777137	0.771873	0.649498	0.711566	0.83895	0.902674
239	3.983333333	1.581339603		0.716872	0.789156	0.804653	0.810739	0.813866	0.170437	0.700557	0.827835	0.831257	0.710378	0.757523	0.852096	0.899379		0.76299	0.773052	0.77488	0.775514	0.775803	0.126541	0.705461	0.776813	0.771581	0.649313	0.71137	0.838731	0.902445
240	4	1.581063182		0.717517	0.789329	0.804678	0.810696	0.813783	0.170656	0.701125	0.827577	0.830882	0.710409	0.75755	0.85212	0.899404		0.762971	0.772883	0.774673	0.775289	0.775568	0.12652	0.705796	0.776492	0.771293	0.649129	0.711174	0.838512	0.902215
241	4.016666667	1.580776245		0.718157	0.7895	0.804701	0.810651	0.8137	0.170874	0.701688	0.82732	0.83051	0.710438	0.757574	0.852142	0.899425		0.76295	0.772715	0.774465	0.775064	0.775334	0.126498	0.706127	0.776173	0.771007	0.648946	0.710979	0.838293	0.901985
242	4.033333333	1.58047867		0.718793	0.789667	0.804721	0.810605	0.813616	0.171092	0.702247	0.827064	0.830141	0.710466	0.757597	0.852162	0.899445		0.762928	0.772547	0.774258	0.77484	0.775101	0.126476	0.706454	0.775857	0.770725	0.648767	0.710784	0.838074	0.901754
243	4.05	1.580170336		0.719424	0.789832	0.80474	0.810556	0.813531	0.171308	0.702802	0.826808	0.829775	0.710489	0.757618	0.852179	0.899461		0.762904	0.772378	0.774051	0.774616	0.774867	0.126453	0.706777	0.775544	0.770444	0.648589	0.71059	0.837855	0.901523
244	4.066666667	1.579851128		0.720048	0.789993	0.804757	0.810507	0.813444	0.171524	0.703352	0.826554	0.829411	0.710509	0.757637	0.852194	0.899475		0.762877	0.772209	0.773844	0.774392	0.774634	0.126429	0.707096	0.775232	0.770166	0.648411	0.710396	0.837635	0.901292
245	4.083333333	1.579520936		0.720668	0.79015	0.804771	0.810455	0.813355	0.171739	0.703898	0.826299	0.82905	0.710528	0.757653	0.852207	0.899487		0.762849	0.772039	0.773637	0.774169	0.774402	0.126403	0.707412	0.774923	0.76989	0.648232	0.710202	0.837415	0.90106
246	4.1	1.57917965		0.721282	0.790305	0.804783	0.810402	0.813266	0.171953	0.70444	0.826046	0.828691	0.710547	0.757668	0.852217	0.899496		0.762819	0.771869	0.773429	0.773945	0.774169	0.126378	0.707723	0.774616	0.769617	0.648055	0.710009	0.837195	0.900827
247	4.116666667	1.578827169		0.721892	0.790456	0.804793	0.810348	0.813175	0.172167	0.704977	0.825792	0.828335	0.710567	0.757681	0.852224	0.899502		0.762788	0.771698	0.773222	0.773722	0.773937	0.126351	0.708031	0.774311	0.769345	0.647881	0.709815	0.836974	0.900593
248	4.133333333	1.578463391		0.722496	0.790604	0.8048	0.810291	0.813082	0.172379	0.70551	0.82554	0.827982	0.710584	0.757692	0.852229	0.899505		0.762754	0.771526	0.773014	0.773498	0.773704	0.126323	0.708335	0.774007	0.769075	0.647706	0.709622	0.836752	0.900358
249	4.15	1.578088222		0.723093	0.790749	0.804805	0.810233	0.812988	0.172591	0.706039	0.825287	0.82763	0.7106	0.7577	0.852232	0.899505		0.762718	0.771354	0.772806	0.773275	0.773472	0.126295	0.708635	0.773705	0.768807	0.64753	0.709428	0.83653	0.900123
250	4.166666667	1.577701569		0.723688	0.79089	0.804808	0.810172	0.812893	0.172802	0.706562	0.825035	0.82728	0.710614	0.757707	0.852232	0.899503		0.76268	0.77118	0.772598	0.77305	0.773239	0.126265	0.708931	0.773404	0.768539	0.647356	0.709235	0.836307	0.899886
251	4.183333333	1.577303342		0.724276	0.791028	0.804808	0.81011	0.812796	0.173012	0.707082	0.824782	0.826932	0.710625	0.757711	0.852229	0.899498		0.762641	0.771007	0.772389	0.772826	0.773006	0.126235	0.709222	0.773105	0.768274	0.64718	0.709041	0.836084	0.899649
252	4.2	1.576893458		0.724858	0.791163	0.804806	0.810046	0.812696	0.173222	0.707597	0.82453	0.826586	0.710635	0.757714	0.852223	0.89949		0.762599	0.770832	0.772179	0.772601	0.772773	0.126204	0.70951	0.772807	0.768009	0.647008	0.708847	0.835859	0.89941
253	4.216666667	1.576471834		0.725436	0.791295	0.804802	0.80998	0.812596	0.17343	0.708108	0.824278	0.826242	0.710642	0.757714	0.852215	0.899479		0.762555	0.770656	0.771969	0.772376	0.77254	0.126171	0.709794	0.772509	0.767745	0.64684	0.708653	0.835634	0.89917
254	4.233333333	1.576038392		0.726009	0.791422	0.804795	0.809912	0.812493	0.173638	0.708614	0.824026	0.8259	0.710644	0.757711	0.852204	0.899465		0.762509	0.77048	0.771758	0.772151	0.772306	0.126138	0.710074	0.772213	0.767482	0.646671	0.708459	0.835407	0.898928
255	4.25	1.575593057		0.726576	0.791547	0.804785	0.809842	0.812389	0.173845	0.709116	0.823774	0.825559	0.710645	0.757707	0.85219	0.899448		0.76246	0.770302	0.771547	0.771924	0.772071	0.126104	0.71035	0.771918	0.76722	0.646503	0.708264	0.83518	0.898685
256	4.266666667	1.575135758		0.727138	0.791668	0.804773	0.809769	0.812283	0.174051	0.709613	0.823521	0.825219	0.710643	0.7577	0.852174	0.899428		0.76241	0.770123	0.771335	0.771698	0.771836	0.126069	0.710622	0.771624	0.766959	0.646333	0.708069	0.834951	0.898441
257	4.283333333	1.574666425		0.727694	0.791786	0.804759	0.809695	0.812175	0.174256	0.710106	0.823269	0.824881	0.710635	0.757691	0.852155	0.899404		0.762357	0.769943	0.771122	0.77147	0.771601	0.126034	0.71089	0.77133	0.766698	0.646131	0.707874	0.834722	0.898196
258	4.3	1.574184994		0.728246	0.7919	0.804741	0.809618	0.812065	0.174461	0.710594	0.823016	0.824544	0.710622	0.757679	0.852132	0.899378		0.762302	0.769762	0.770908	0.771241	0.771365	0.125997	0.711154	0.771037	0.766437	0.645923	0.707677	0.83449	0.897949
259	4.316666667	1.573691401		0.728791	0.79201	0.804721	0.809539	0.811954	0.174664	0.711078	0.822762	0.824208	0.710606	0.757665	0.852107	0.899348		0.762245	0.769579	0.770693	0.771011	0.771128	0.125959	0.711413	0.770744	0.766176	0.645714	0.70748	0.834258	0.897699
260	4.333333333	1.573185589		0.729332	0.792117	0.804699	0.809458	0.81184	0.174867	0.711558	0.822509	0.823873	0.710588	0.757649	0.852079	0.899316		0.762185	0.769396	0.770477	0.770781	0.77089	0.12592	0.711669	0.770452	0.765915	0.645501	0.707283	0.834024	0.897449
261	4.35	1.5726675		0.729869	0.792221	0.804673	0.809374	0.811724	0.175068	0.712032	0.822254	0.823539	0.710568	0.75763	0.852048	0.89928		0.762123	0.76921	0.770259	0.770549	0.770651	0.12588	0.71192	0.770159	0.765655	0.645285	0.707084	0.833788	0.897196
262	4.366666667	1.572137081		0.730398	0.792321	0.804645	0.809289	0.811606	0.175269	0.712502	0.821999	0.823206	0.710548	0.757609	0.852014	0.89924		0.762058	0.769024	0.770041	0.770317	0.770411	0.125839	0.712167	0.769867	0.765393	0.645067	0.706885	0.833551	0.896942
263	4.383333333	1.571594281		0.730922	0.792417	0.804614	0.8092	0.811485	0.175469	0.712968	0.821743	0.822873	0.710524	0.757585	0.851976	0.899198		0.761992	0.768836	0.769821	0.770083	0.770169	0.125798	0.71241	0.769575	0.765132	0.644847	0.706685	0.833313	0.896685
264	4.4	1.571039054		0.731444	0.79251	0.80458	0.809109	0.811363	0.175668	0.713429	0.821487	0.822541	0.710501	0.757558	0.851936	0.899152		0.761922	0.768646	0.7696	0.769848	0.769927	0.125755	0.712649	0.769282	0.764869	0.644625	0.706484	0.833073	0.896426
265	4.416666667	1.570471353		0.731958	0.792599	0.804543	0.809016	0.811238	0.175866	0.713885	0.82123	0.822209	0.710475	0.757529	0.851892	0.899102		0.76185	0.768455	0.769378	0.769612	0.769684	0.125711	0.712883	0.768989	0.764607	0.644404	0.706282	0.832831	0.896165
266	4.433333333	1.569891136		0.732467	0.792684	0.804504	0.80892	0.811111	0.176064	0.714337	0.820972	0.821878	0.710447	0.757497	0.851846	0.89905		0.761776	0.768262	0.769154	0.769375	0.769439	0.125666	0.713113	0.768696	0.764343	0.644177	0.706079	0.832587	0.895903
267	4.45	1.569298363		0.732971	0.792766	0.804461	0.808822	0.810981	0.17626	0.714784	0.820713	0.821547	0.710416	0.757463	0.851796	0.898993		0.761699	0.768067	0.768929	0.769136	0.769193	0.12562	0.713339	0.768403	0.764079	0.643953	0.705875	0.832341	0.895638
268	4.466666667	1.568692998		0.733469	0.792844	0.804415	0.808721	0.810849	0.176455	0.715226	0.820452	0.821216	0.710382	0.757426	0.851743	0.898933		0.761619	0.767871	0.768702	0.768896	0.768945	0.125574	0.713562	0.768109	0.763814	0.643731	0.70567	0.832093	0.89537
269	4.483333333	1.568075006		0.733963	0.792919	0.804367	0.808617	0.810715	0.176649	0.715664	0.820191	0.820886	0.710348	0.757386	0.851686	0.89887		0.761537	0.767673	0.768474	0.768654	0.768697	0.125526	0.713779	0.767815	0.763548	0.643511	0.705463	0.831844	0.8951
270	4.5	1.567444353		0.734452	0.792989	0.804315	0.808511	0.810578	0.176843	0.716097	0.819929	0.820555	0.710309	0.757344	0.851627	0.898803		0.761452	0.767472	0.768244	0.768411	0.768446	0.125477	0.713992	0.767519	0.76328	0.643293	0.705256	0.831593	0.894828
271	4.516666667	1.566801012		0.734934	0.793056	0.804261	0.808402	0.810439	0.177036	0.716526	0.819666	0.820224	0.71027	0.757298	0.851564	0.898733		0.761365	0.767271	0.768012	0.768166	0.768194	0.125427	0.714202	0.767223	0.763011	0.643076	0.705046	0.831339	0.894553
272	4.533333333	1.566144953		0.73541	0.79312	0.804203	0.80829	0.810297	0.177227	0.71695	0.819401	0.819894	0.710228	0.75725	0.851497	0.898658		0.761274	0.767067	0.767779	0.767919	0.76794	0.125376	0.714406	0.766926	0.762741	0.642861	0.704836	0.831083	0.894276
273	4.55	1.565476153		0.735884	0.793179	0.804142	0.808176	0.810152	0.177418	0.717369	0.819135	0.819562	0.710183	0.757199	0.851427	0.898581		0.761182	0.766861	0.767543	0.767671	0.767685	0.125324	0.714607	0.766627	0.762469	0.642648	0.704624	0.830825	0.893997
274	4.566666667	1.564794587		0.736351	0.793235	0.804078	0.808058	0.810005	0.177608	0.717783	0.818868	0.819231	0.710137	0.757146	0.851354	0.898499		0.761086	0.766653	0.767306	0.767421	0.767428	0.125272	0.714803	0.766329	0.762196	0.642434	0.704411	0.830565	0.893714
275	4.583333333	1.564100237		0.736812	0.793286	0.804011	0.807938	0.809855	0.177796	0.718193	0.818599	0.818899	0.710087	0.757089	0.851277	0.898414		0.760987	0.766443	0.767067	0.767169	0.767169	0.125218	0.714995	0.766028	0.76192	0.642219	0.704196	0.830302	0.893429
276	4.6	1.563393083		0.737268	0.793334	0.803941	0.807815	0.809703	0.177984	0.718598	0.818329	0.818566	0.710033	0.757029	0.851197	0.898324		0.760885	0.766231	0.766826	0.766915	0.766908	0.125163	0.715182	0.765727	0.761643	0.642002	0.70398	0.830037	0.893141
277	4.616666667	1.562673108		0.737719	0.793378	0.803867	0.807688	0.809547	0.178171	0.718998	0.818057	0.818233	0.709978	0.756967	0.851113	0.898232		0.760781	0.766017	0.766583	0.766659	0.766645	0.125107	0.715365	0.765424	0.761365	0.641786	0.703762	0.82977	0.89285
278	4.633333333	1.5619403		0.738166	0.793419	0.80379	0.807559	0.809389	0.178357	0.719394	0.817783	0.8179	0.70992	0.756901	0.851026	0.898135		0.760674	0.7658	0.766338	0.766401	0.76638	0.12505	0.715544	0.765119	0.761084	0.64157	0.703542	0.8295	0.892556
279	4.65	1.561194646		0.738606	0.793455	0.80371	0.807427	0.809229	0.178542	0.719784	0.817508	0.817565	0.709859	0.756833	0.850935	0.898034		0.760564	0.765581	0.766091	0.766141	0.766113	0.124992	0.715718	0.764813	0.760801	0.641354	0.703321	0.829228	0.89226
280	4.666666667	1.560436135		0.73904	0.793487	0.803626	0.807292	0.809065	0.178726	0.72017	0.817231	0.817229	0.709798	0.756761	0.85084	0.897929		0.760451	0.76536	0.765841	0.76588	0.765845	0.124933	0.715888	0.764506	0.760516	0.641134	0.703098	0.828953	0.89196
281	4.683333333	1.55966476		0.739471	0.793515	0.80354	0.807154	0.808898	0.178909	0.720552	0.816953	0.816893	0.709732	0.756687	0.850742	0.897821		0.760335	0.765136	0.76559	0.765615	0.765573	0.124873	0.716054	0.764197	0.760229	0.640916	0.702873	0.828675	0.891658
282	4.7	1.558880514		0.739896	0.79354	0.80345	0.807013	0.808728	0.179091	0.720928	0.816673	0.816556	0.709666	0.756609	0.85064	0.897708		0.760216	0.764911	0.765336	0.765349	0.7653	0.124812	0.716215	0.763886	0.759939	0.6407	0.702646	0.828395	0.891352
283	4.716666667	1.558083393		0.740314	0.79356	0.803356	0.806868	0.808556	0.179272	0.7213	0.81639	0.816217	0.709597	0.756528	0.850534	0.897592		0.760094	0.764682	0.765079	0.76508	0.765025	0.12475	0.716371	0.763573	0.759647	0.640477	0.702418	0.828112	0.891043
284	4.733333333	1.557273396		0.740728	0.793577	0.803259	0.80672	0.80838	0.179452	0.721667	0.816106	0.815878	0.709525	0.756444	0.850426	0.897472		0.759968	0.764451	0.764821	0.764809	0.764747	0.124687	0.716523	0.763259	0.759352	0.640254	0.702187	0.827826	0.890731
285	4.75	1.55645052		0.741137	0.793589	0.803158	0.80657	0.808201	0.179632	0.722028	0.81582	0.815537	0.709451	0.756357	0.850312	0.897347		0.75984	0.764218	0.76456	0.764536	0.764467	0.124623	0.716671	0.762942	0.759055	0.640027	0.701954	0.827537	0.890416
286	4.766666667	1.555614768		0.74154	0.793597	0.803054	0.806416	0.808019	0.17981	0.722386	0.815531	0.815194	0.709375	0.756267	0.850196	0.897218		0.759709	0.763982	0.764296	0.76426	0.764184	0.124557	0.716814	0.762624	0.758755	0.639801	0.701719	0.827246	0.890097
287	4.783333333	1.554766142		0.741938	0.793602	0.802946	0.806258	0.807834	0.179987	0.722738	0.815241	0.814851	0.709293	0.756173	0.850075	0.897085		0.759574	0.763744	0.764031	0.763982	0.763899	0.124491	0.716953	0.762303	0.758453	0.639573	0.701483	0.826951	0.889775
288	4.8	1.553904647		0.74233	0.793602	0.802835	0.806098	0.807646	0.180163	0.723086	0.814948	0.814506	0.709208	0.756076	0.84995	0.896949		0.759436	0.763502	0.763762	0.763701	0.763612	0.124424	0.717087	0.76198	0.758147	0.639345	0.701244	0.826654	0.88945
289	4.816666667	1.55303029		0.742719	0.793598	0.802721	0.805934	0.807455	0.180339	0.723428	0.814654	0.814159	0.709118	0.755976	0.849822	0.896807		0.759295	0.763258	0.763491	0.763418	0.763322	0.124356	0.717217	0.761655	0.757839	0.639112	0.701003	0.826354	0.889121
290	4.833333333	1.552143078		0.743099	0.79359	0.802602	0.805766	0.80726	0.180513	0.723766	0.814357	0.813811	0.709023	0.755873	0.84969	0.896662		0.759151	0.763012	0.763217	0.763132	0.763029	0.124287	0.717342	0.761328	0.757528	0.638874	0.70076	0.82605	0.888789
291	4.85	1.55124302		0.743475	0.793578	0.80248	0.805596	0.807062	0.180686	0.724099	0.814057	0.813461	0.708925	0.755766	0.849554	0.896513		0.759004	0.762762	0.76294	0.762843	0.762733	0.124216	0.717463	0.760998	0.757213	0.63863	0.700514	0.825744	0.888453
292	4.866666667	1.550330128		0.743848	0.793562	0.802355	0.805421	0.806861	0.180858	0.724427	0.813755	0.813109	0.708826	0.755656	0.849413	0.896359		0.758853	0.76251	0.762661	0.762552	0.762435	0.124145	0.717579	0.760665	0.756896	0.638382	0.700266	0.825434	0.888114
293	4.883333333	1.549404415		0.744214	0.793541	0.802225	0.805244	0.806657	0.18103	0.72475	0.813452	0.812755	0.708724	0.755542	0.849269	0.896201		0.758699	0.762255	0.762379	0.762258	0.762135	0.124072	0.717691	0.760331	0.756575	0.638129	0.700016	0.82512	0.887771
294	4.9	1.548465894		0.744573	0.793517	0.802092	0.805063	0.806449	0.1812	0.725069	0.813145	0.8124	0.708618	0.755426	0.849121	0.896039		0.758542	0.761997	0.762095	0.761961	0.761831	0.123999	0.717798	0.759994	0.756252	0.637883	0.699764	0.824805	0.887425
295	4.916666667	1.547514582		0.744928	0.793488	0.801956	0.804878	0.806237	0.18137	0.725382	0.812836	0.812042	0.708512	0.755305	0.848969	0.895872		0.758381	0.761736	0.761807	0.761661	0.761525	0.123925	0.7179	0.759654	0.755925	0.637635	0.699509	0.824485	0.887075
296	4.933333333	1.546550495		0.745279	0.793455	0.801815	0.80469	0.806023	0.181538	0.725691	0.812524	0.811683	0.708404	0.755182	0.848812	0.895701		0.758217	0.761473	0.761517	0.761359	0.761216	0.123849	0.717998	0.759311	0.755594	0.637385	0.699251	0.824163	0.88672
297	4.95	1.545573652		0.745623	0.793418	0.801671	0.804498	0.805804	0.181705	0.725994	0.81221	0.811321	0.708293	0.755054	0.848651	0.895525		0.758049	0.761206	0.761224	0.761053	0.760904	0.123773	0.718091	0.758966	0.75526	0.637138	0.698991	0.823837	0.886362
298	4.966666667	1.544584073		0.745962	0.793376	0.801523	0.804303	0.805583	0.181871	0.726293	0.811893	0.810957	0.70818	0.754924	0.848487	0.895346		0.757878	0.760936	0.760927	0.760745	0.760589	0.123695	0.71818	0.758617	0.754923	0.63689	0.698729	0.823507	0.886001
299	4.983333333	1.543581779		0.746296	0.793331	0.801371	0.804104	0.805358	0.182036	0.726587	0.811574	0.810591	0.708063	0.75479	0.848319	0.89516		0.757704	0.760663	0.760628	0.760434	0.760271	0.123617	0.718264	0.758266	0.754582	0.636638	0.698464	0.823174	0.885636
300	5	1.542566792		0.746623	0.793281	0.801215	0.803901	0.805129	0.182201	0.726875	0.811252	0.810223	0.707941	0.754652	0.848146	0.894973		0.757526	0.760387	0.760325	0.760119	0.75995	0.123537	0.718343	0.757912	0.754238	0.636385	0.698197	0.822838	0.885266
